name,isin,type,dtcreated
Gothaer Allgemeine Versicherung AG,DE000A168478,0,2016-01-19 10:14:28
DEPFA ACS BANK DAC,noisin367155,0,2016-01-19 11:27:00
DEPFA ACS BANK DAC,noisin367155,0,2016-01-19 12:00:05
DEPFA BANK plc,DE000A0AUJ90,0,2016-01-19 12:00:05
Deutsche Beteiligungs AG,DE000A1TNUT7,0,2016-01-19 15:38:41
Deutsche Beteiligungs AG,DE000A1TNUT7,0,2016-01-19 15:38:41
Rofin-Sinar Technologies Inc.,US7750431022,0,2016-01-19 22:27:04
Kuros Biosciences AG,CH0011025217,0,2016-01-20 07:00:09
Kuros Biosciences AG,CH0011025217,0,2016-01-20 07:00:09
Fair Value REIT-AG,DE000A0MW975,0,2016-01-20 11:01:31
Fair Value REIT-AG,DE000A0MW975,0,2016-01-20 11:01:31
Eyemaxx Real Estate AG,DE000A0V9L94,0,2016-01-20 15:15:05
init innovation in traffic systems SE,DE0005759807,0,2016-01-20 17:29:26
init innovation in traffic systems SE,DE0005759807,0,2016-01-20 17:29:26
Deutsche Bank AG,DE0005140008,0,2016-01-20 20:32:42
Deutsche Bank AG,DE0005140008,0,2016-01-20 20:32:42
KPS AG,DE000A1A6V48,0,2016-01-20 20:38:20
Mikron Holding AG,CH0003390066,0,2016-01-21 07:00:10
Mikron Holding AG,CH0003390066,0,2016-01-21 07:00:10
Capital One AG,DE000A0SMU79,0,2016-01-21 10:32:55
Alphaform AG,DE0005487953,0,2016-01-21 13:01:51
Alphaform AG,DE0005487953,0,2016-01-21 13:01:51
EVN AG,AT0000741053,0,2016-01-21 14:36:01
EVN AG,AT0000741053,0,2016-01-21 14:36:01
EVN AG,AT0000741053,0,2016-01-21 14:41:36
EVN AG,AT0000741053,0,2016-01-21 14:41:36
EVN AG,AT0000741053,0,2016-01-21 15:25:05
EVN AG,AT0000741053,0,2016-01-21 15:25:05
Leclanché SA,CH0110303119,0,2016-01-21 18:08:53
Leclanché SA,CH0110303119,0,2016-01-21 18:08:53
Leclanché SA,CH0110303119,0,2016-01-21 18:08:53
shaPE Capital AG,CH0012885841,0,2016-01-21 19:31:59
shaPE Capital AG,CH0012885841,0,2016-01-21 19:31:59
Kontron S&T AG,DE0006053952,0,2016-01-22 07:39:51
Kontron S&T AG,DE0006053952,0,2016-01-22 07:39:51
Viscom AG,DE0007846867,0,2016-01-22 11:59:47
Viscom AG,DE0007846867,0,2016-01-22 11:59:47
AEVIS VICTORIA SA,CH0478634105,0,2016-01-22 17:45:07
AEVIS VICTORIA SA,CH0478634105,0,2016-01-22 17:45:07
AEVIS VICTORIA SA,CH0478634105,0,2016-01-22 17:45:07
Diebold Nixdorf Aktiengesellschaft,DE000A0CAYB2,0,2016-01-24 20:58:11
Diebold Nixdorf Aktiengesellschaft,DE000A0CAYB2,0,2016-01-24 20:58:11
Capital Raising GmbH,DE0007490724,0,2016-01-25 09:19:05
Capital Raising GmbH,DE0007490724,0,2016-01-25 09:19:05
Hybrid Raising GmbH,DE000A0AMCG6,0,2016-01-25 09:26:12
Hybrid Raising GmbH,DE000A0AMCG6,0,2016-01-25 09:26:12
Pelikan Group GmbH,DE0006053101,0,2016-01-25 17:00:36
Pelikan Group GmbH,DE0006053101,0,2016-01-25 17:00:36
Vonovia SE,DE000A1ML7J1,0,2016-01-25 17:45:36
Vonovia SE,DE000A1ML7J1,0,2016-01-25 17:45:36
VERBIO Vereinigte BioEnergie AG,DE000A0JL9W6,0,2016-01-25 17:53:31
VERBIO Vereinigte BioEnergie AG,DE000A0JL9W6,0,2016-01-25 17:53:31
Siemens AG,DE0007236101,0,2016-01-25 18:23:48
Siemens AG,DE0007236101,0,2016-01-25 18:23:48
Energiedienst Holding AG,CH0039651184,0,2016-01-26 07:08:53
Energiedienst Holding AG,CH0039651184,0,2016-01-26 07:11:32
GERRY WEBER INTERNATIONAL AG,DE000A255G36,0,2016-01-26 07:26:27
GERRY WEBER INTERNATIONAL AG,DE000A255G36,0,2016-01-26 07:26:27
Orascom Development Holding AG,CH0038285679,0,2016-01-27 07:00:10
Orascom Development Holding AG,CH0038285679,0,2016-01-27 07:00:10
HOCHDORF Holding AG,CH0024666528,0,2016-01-27 07:00:13
HOCHDORF Holding AG,CH0024666528,0,2016-01-27 07:00:13
HOCHDORF Holding AG,CH0024666528,0,2016-01-27 07:00:13
BASF SE,DE000BASF111,0,2016-01-27 07:11:03
BASF SE,DE000BASF111,0,2016-01-27 07:11:03
Aurubis AG,DE0006766504,0,2016-01-27 15:02:26
Aurubis AG,DE0006766504,0,2016-01-27 15:02:26
Salzgitter AG,DE0006202005,0,2016-01-27 18:00:06
Salzgitter AG,DE0006202005,0,2016-01-27 18:00:06
Wirecard AG,DE0007472060,0,2016-01-28 08:03:31
Wirecard AG,DE0007472060,0,2016-01-28 08:03:31
Gothaer Allgemeine Versicherung AG,DE000A168478,0,2016-01-28 10:05:35
Gothaer Allgemeine Versicherung AG,DE000A168478,0,2016-01-28 10:05:35
H&R GmbH & Co. KGaA,DE000A2E4T77,0,2016-01-28 10:55:35
Electrawinds SE,LU0538936351,0,2016-01-28 17:29:20
Electrawinds SE,LU0538936351,0,2016-01-28 17:29:20
ATOSS Software AG,DE0005104400,0,2016-01-28 19:24:50
ATOSS Software AG,DE0005104400,0,2016-01-28 19:24:50
SKW Stahl-Metallurgie Holding AG,DE000SKWM021,0,2016-01-28 21:47:11
SKW Stahl-Metallurgie Holding AG,DE000SKWM021,0,2016-01-28 21:47:11
SNP Schneider-Neureither & Partner SE,DE0007203705,0,2016-01-29 08:00:45
SNP Schneider-Neureither & Partner SE,DE0007203705,0,2016-01-29 08:00:45
H&R GmbH & Co. KGaA,DE000A2E4T77,0,2016-01-29 09:18:55
Clere AG,DE000A2AA402,0,2016-01-29 10:54:25
ad pepper media International N.V.,NL0000238145,0,2016-01-29 11:21:25
ad pepper media International N.V.,NL0000238145,0,2016-01-29 11:21:25
splendid medien AG,DE0007279507,0,2016-01-29 12:56:40
Clere AG,DE000A2AA402,0,2016-01-29 13:22:15
Clere AG,DE000A2AA402,0,2016-01-29 15:41:35
Clere AG,DE000A2AA402,0,2016-01-29 17:03:30
LifeWatch AG,CH0012815459,0,2016-01-29 19:00:08
LifeWatch AG,CH0012815459,0,2016-01-29 19:00:08
KPS AG,DE000A1A6V48,0,2016-01-29 20:17:45
Peach Property Group AG,CH0118530366,0,2016-02-01 07:00:08
Peach Property Group AG,CH0118530366,0,2016-02-01 07:00:08
Jungfraubahn Holding AG,CH0017875789,0,2016-02-01 07:00:13
Jungfraubahn Holding AG,CH0017875789,0,2016-02-01 07:00:13
SolarWorld AG i.I.,DE000A1YCMM2,0,2016-02-01 08:32:46
SolarWorld AG i.I.,DE000A1YCMM2,0,2016-02-01 08:32:46
ad pepper media International N.V.,NL0000238145,0,2016-02-01 08:51:25
ad pepper media International N.V.,NL0000238145,0,2016-02-01 08:51:25
AREAL Immobilien und Beteiligungs-AG,DE000A1RFGW0,0,2016-02-01 10:15:20
Berentzen-Gruppe Aktiengesellschaft,DE0005201602,0,2016-02-01 12:08:05
